,link
0,https://www.emol.com/movil/noticias/Nacional/2022/01/09/1043468/programacion-semana-10-enero-emoltv.html
1,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043716/presidente-pinera-pandemia-cuarentenas.html
2,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043716/presidente-pinera-pandemia-cuarentenas.html
3,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043714/variante-omicron-cuarentenas-minsal.html
4,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043589/desafio-rastreo-de-casos-omicron.html
5,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043656/corte-suprema-en-chile.html
6,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043656/corte-suprema-en-chile.html
7,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043690/senado-aprueba-gajardo-suprema.html
8,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043691/alerta-temprana-rm-turbiedad-maipo.html
9,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043691/alerta-temprana-rm-turbiedad-maipo.html
10,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043689/aumenta-positividad-32-antofagasta.html
11,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043689/aumenta-positividad-32-antofagasta.html
12,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043638/posturas-otros-tres-grand-slams.html
13,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043638/posturas-otros-tres-grand-slams.html
14,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043638/posturas-otros-tres-grand-slams.html
15,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043713/alejandro-tabilo-australia.html
16,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043713/alejandro-tabilo-australia.html
17,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043706/movidas-futbol-chileno.html
18,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043706/movidas-futbol-chileno.html
19,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043672/endrick-palmeiras-15-anos.html
20,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043672/endrick-palmeiras-15-anos.html
21,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043711/jorge-segovia-union-udechile.html
22,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043711/jorge-segovia-union-udechile.html
23,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043695/jose-maria-buljubasich-universidad-catolica.html
24,https://www.emol.com/movil/noticias/Deportes/2022/01/11/1043695/jose-maria-buljubasich-universidad-catolica.html
25,https://www.emol.com/movil/noticias/Deportes/2021/12/13/1040834/fichajes-futbol-chileno-temporada-2022.html
26,https://www.emol.com/movil/noticias/Deportes/2021/12/13/1040834/fichajes-futbol-chileno-temporada-2022.html
27,https://www.emol.com/movil/noticias/Nacional/2022/01/10/1043516/como-firmar-por-iniciativas-populares.html
28,https://www.emol.com/movil/noticias/Nacional/2022/01/10/1043516/como-firmar-por-iniciativas-populares.html
29,https://www.emol.com/movil/noticias/Nacional/2022/01/10/1043516/como-firmar-por-iniciativas-populares.html
30,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043710/triple-homicidio-penalolen.html
31,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043710/triple-homicidio-penalolen.html
32,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043642/proceso-admision-2022-que-saber.html
33,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043661/pdt-reduccion-brecha-egresados.html
34,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043648/puntajes-nacionales-baja-22-2022.html
35,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043682/campillai-reunion-apruebo-dignidad.html
36,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043682/campillai-reunion-apruebo-dignidad.html
37,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043699/udi-apoya-rn-vicepresidencia-adjunta.html
38,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043699/udi-apoya-rn-vicepresidencia-adjunta.html
39,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043665/presidenta-quinteros-vicepresidencias-udi-rn.html
40,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043653/marinovic-y-larrainmatte-paraconvencion.html
41,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043663/chilevamos-y-vicepresidencia-convencion.html
42,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043708/brasil-casos-covid19.html
43,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043708/brasil-casos-covid19.html
44,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043562/la-pandemia-en-estados-unidos.html
45,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043687/record-hospitalizaciones-covid-estados-unidos.html
46,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043636/personas-pueden-cambiar-apellido.html
47,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043565/riesgo-politicos-de-america-latina.html
48,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043565/riesgo-politicos-de-america-latina.html
49,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043681/joe-biden-reforma-electoral-georgia.html
50,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043681/joe-biden-reforma-electoral-georgia.html
51,https://www.emol.com/movil/noticias/Internacional/2022/01/11/1043667/biden-promovera-proyectos-voto-minorias.html
52,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043693/fed-inflacion-eeuu.html
53,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043693/fed-inflacion-eeuu.html
54,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043657/incendio-iquique--como-quedo.html
55,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043657/incendio-iquique--como-quedo.html
56,https://www.emol.com/movil/noticias/Nacional/2022/01/10/1043519/balaceras-enero-2022-pdi.html
57,https://www.emol.com/movil/noticias/Nacional/2022/01/10/1043519/balaceras-enero-2022-pdi.html
58,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043683/republicanos-por-delincuencia.html
59,https://www.emol.com/movil/noticias/Nacional/2022/01/11/1043625/robos-violentos-bajan-2021.html
60,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043701/falabella-nuevo-plan-inversion.html
61,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043701/falabella-nuevo-plan-inversion.html
62,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043664/banco-mundial-crecimiento-chile-222022.html
63,https://www.emol.com/movil/noticias/Economia/2022/01/11/1043664/banco-mundial-crecimiento-chile-222022.html
64,https://www.emol.com/movil/noticias/Espectaculos/2022/01/11/1043646/spiderman-disponible-en-netflix-hbo.html
65,https://www.emol.com/movil/noticias/Espectaculos/2022/01/11/1043646/spiderman-disponible-en-netflix-hbo.html
