,link
0,https://www.emol.com/movil/noticias/Nacional/2022/01/09/1043468/programacion-semana-10-enero-emoltv.html
1,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043931/transicion-variante-delta-omicron-proyeccion.html
2,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043931/transicion-variante-delta-omicron-proyeccion.html
3,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044007/aumento-de-casos-norte-fiestas.html
4,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043988/reducir-aislamiento-contagiados-covid19.html
5,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043998/balance-minsal-14-enero-2022.html
6,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044004/valenzuela-proyecta-colapso-30mil-casos.html
7,https://www.emol.com/movil/noticias/Economia/2022/01/14/1044059/ministerio-mineria-fallo-corte-litio.html
8,https://www.emol.com/movil/noticias/Economia/2022/01/14/1044059/ministerio-mineria-fallo-corte-litio.html
9,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044051/jackson-por-fallo-litio.html
10,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044039/corte-apelaciones-copiapo-orden-litio.html
11,https://www.emol.com/movil/noticias/Economia/2022/01/14/1044017/gobierno-desinformacion-licitacion-litio.html
12,https://www.emol.com/movil/noticias/Economia/2022/01/14/1043945/mitos-verdades-litio.html
13,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044070/colo-colo-u-amistoso-argentina.html
14,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044070/colo-colo-u-amistoso-argentina.html
15,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044070/colo-colo-u-amistoso-argentina.html
16,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044069/gol-colo-colo-u-superclasico.html
17,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044069/gol-colo-colo-u-superclasico.html
18,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044065/novak-djokovic-escandalo-australia.html
19,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044065/novak-djokovic-escandalo-australia.html
20,https://www.emol.com/movil/noticias/Deportes/2021/12/13/1040834/fichajes-futbol-chileno-temporada-2022.html
21,https://www.emol.com/movil/noticias/Deportes/2021/12/13/1040834/fichajes-futbol-chileno-temporada-2022.html
22,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044060/movidas-europa.html
23,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044060/movidas-europa.html
24,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044050/cristiano-ronaldo-united.html
25,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044050/cristiano-ronaldo-united.html
26,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044038/ronaldo-koeman-barcelona-alex-collado.html
27,https://www.emol.com/movil/noticias/Deportes/2022/01/14/1044038/ronaldo-koeman-barcelona-alex-collado.html
28,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043932/carlos-pena-excepcionalidad-chilena-opinion.html
29,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043932/carlos-pena-excepcionalidad-chilena-opinion.html
30,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043932/carlos-pena-excepcionalidad-chilena-opinion.html
31,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043917/cconvencionales-proponen-nueve-organos-autonomos.html
32,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043917/cconvencionales-proponen-nueve-organos-autonomos.html
33,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043929/felipe-larrain-suenos-importantes-realismo.html
34,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1043929/felipe-larrain-suenos-importantes-realismo.html
35,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044068/recomendaciones-consejo-asesor-covid19-omicron.html
36,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044057/secuestro-lampa-acusado-prision-preventiva.html
37,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044057/secuestro-lampa-acusado-prision-preventiva.html
38,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044061/alerta-tormentas-electricas-arica-parinacota.html
39,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044061/alerta-tormentas-electricas-arica-parinacota.html
40,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044021/entrevista-matias-desmadryl-porcodigoaguas.html
41,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044021/entrevista-matias-desmadryl-porcodigoaguas.html
42,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044034/aduanas-paro-paso-los-libertadores.html
43,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044034/aduanas-paro-paso-los-libertadores.html
44,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044063/manifestaciones-plaza-baquedano.html
45,https://www.emol.com/movil/noticias/Nacional/2022/01/14/1044063/manifestaciones-plaza-baquedano.html
46,https://www.emol.com/movil/noticias/Internacional/2022/01/14/1044052/ortega-destituye-a-ministro-nicaragua.html
47,https://www.emol.com/movil/noticias/Internacional/2022/01/14/1044052/ortega-destituye-a-ministro-nicaragua.html
